"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"PTC","PTC","Information Technology","Application Software","Boston, Massachusetts","2021-04-20","0000857005","1985",,,,,,,,,,2024-02-05
"PSA","Public Storage","Real Estate","Self-Storage REITs","Glendale, California","2005-08-19","0001393311","1972",,,,,,,,,,2024-02-05
"PHM","PulteGroup","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30","0000822416","1956",,,,,,,,,,2024-02-05
"QRVO","Qorvo","Information Technology","Semiconductors","Greensboro, North Carolina","2015-06-11","0001604778","2015",,,,,,,,,,2024-02-05
"PWR","Quanta Services","Industrials","Construction & Engineering","Houston, Texas","2009-07-01","0001050915","1997",,,,,,,,,,2024-02-05
"QCOM","Qualcomm","Information Technology","Semiconductors","San Diego, California","1999-07-22","0000804328","1985",,,,,,,,,,2024-02-05
"DGX","Quest Diagnostics","Health Care","Health Care Services","Secaucus, New Jersey","2002-12-12","0001022079","1967",,,,,,,,,,2024-02-05
"RL","Ralph Lauren Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2007-02-02","0001037038","1967",,,,,,,,,,2024-02-05
"RJF","Raymond James","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","2017-03-20","0000720005","1962",,,,,,,,,,2024-02-05
"RTX","RTX Corporation","Industrials","Aerospace & Defense","Waltham, Massachusetts","1957-03-04","0000101829","1922",,,,,,,,,,2024-02-05
"O","Realty Income","Real Estate","Retail REITs","San Diego, California","2015-04-07","0000726728","1969",,,,,,,,,,2024-02-05
"REG","Regency Centers","Real Estate","Retail REITs","Jacksonville, Florida","2017-03-02","0000910606","1963",,,,,,,,,,2024-02-05
"REGN","Regeneron","Health Care","Biotechnology","Tarrytown, New York","2013-05-01","0000872589","1988",,,,,,,,,,2024-02-05
"RF","Regions Financial Corporation","Financials","Regional Banks","Birmingham, Alabama","1998-08-28","0001281761","1971",,,,,,,,,,2024-02-05
"RSG","Republic Services","Industrials","Environmental & Facilities Services","Phoenix, Arizona","2008-12-05","0001060391","1998 (1981)",,,,,,,,,,2024-02-05
"RMD","ResMed","Health Care","Health Care Equipment","San Diego, California","2017-07-26","0000943819","1989",,,,,,,,,,2024-02-05
"RVTY","Revvity (Previously PerkinElmer)","Health Care","Health Care Equipment","Waltham, Massachusetts","1985-05-31","0000031791","1937",,,,,,,,,,2024-02-05
"RHI","Robert Half","Industrials","Human Resource & Employment Services","Menlo Park, California","2000-12-05","0000315213","1948",,,,,,,,,,2024-02-05
"ROK","Rockwell Automation","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin","2000-03-12","0001024478","1903",,,,,,,,,,2024-02-05
"ROL","Rollins, Inc.","Industrials","Environmental & Facilities Services","Atlanta, Georgia","2018-10-01","0000084839","1948",,,,,,,,,,2024-02-05
"ROP","Roper Technologies","Information Technology","Electronic Equipment & Instruments","Sarasota, Florida","2009-12-23","0000882835","1981",,,,,,,,,,2024-02-05
"ROST","Ross Stores","Consumer Discretionary","Apparel Retail","Dublin, California","2009-12-21","0000745732","1982",,,,,,,,,,2024-02-05
"RCL","Royal Caribbean Group","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2014-12-05","0000884887","1997",,,,,,,,,,2024-02-05
"SPGI","S&P Global","Financials","Financial Exchanges & Data","New York City, New York","1957-03-04","0000064040","1917",,,,,,,,,,2024-02-05
"CRM","Salesforce","Information Technology","Application Software","San Francisco, California","2008-09-15","0001108524","1999",,,,,,,,,,2024-02-05
"SBAC","SBA Communications","Real Estate","Telecom Tower REITs","Boca Raton, Florida","2017-09-01","0001034054","1989",,,,,,,,,,2024-02-05
"SLB","Schlumberger","Energy","Oil & Gas Equipment & Services","Houston, Texas","1957-03-04","0000087347","1926",,,,,,,,,,2024-02-05
"STX","Seagate Technology","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","2012-07-02","0001137789","1979",,,,,,,,,,2024-02-05
"SRE","Sempra Energy","Utilities","Multi-Utilities","San Diego, California","2017-03-17","0001032208","1998",,,,,,,,,,2024-02-05
"NOW","ServiceNow","Information Technology","Systems Software","Santa Clara, California","2019-11-21","0001373715","2003",,,,,,,,,,2024-02-05
"SHW","Sherwin-Williams","Materials","Specialty Chemicals","Cleveland, Ohio","1964-06-30","0000089800","1866",,,,,,,,,,2024-02-05
"SPG","Simon Property Group","Real Estate","Retail REITs","Indianapolis, Indiana","2002-06-26","0001063761","2003",,,,,,,,,,2024-02-05
"SWKS","Skyworks Solutions","Information Technology","Semiconductors","Irvine, California","2015-03-12","0000004127","2002",,,,,,,,,,2024-02-05
"SJM","J.M. Smucker Company (The)","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06","0000091419","1897",,,,,,,,,,2024-02-05
"SNA","Snap-on","Industrials","Industrial Machinery & Supplies & Components","Kenosha, Wisconsin","1982-09-30","0000091440","1920",,,,,,,,,,2024-02-05
"SO","Southern Company","Utilities","Electric Utilities","Atlanta, Georgia","1957-03-04","0000092122","1945",,,,,,,,,,2024-02-05
"LUV","Southwest Airlines","Industrials","Passenger Airlines","Dallas, Texas","1994-07-01","0000092380","1967",,,,,,,,,,2024-02-05
"SWK","Stanley Black & Decker","Industrials","Industrial Machinery & Supplies & Components","New Britain, Connecticut","1982-09-30","0000093556","1843",,,,,,,,,,2024-02-05
"SBUX","Starbucks","Consumer Discretionary","Restaurants","Seattle, Washington","2000-06-07","0000829224","1971",,,,,,,,,,2024-02-05
"STT","State Street Corporation","Financials","Asset Management & Custody Banks","Boston, Massachusetts","2003-03-14","0000093751","1792",,,,,,,,,,2024-02-05
"STLD","Steel Dynamics","Materials","Steel","Fort Wayne, Indiana","2022-12-22","0001022671","1993",,,,,,,,,,2024-02-05
"STE","Steris","Health Care","Health Care Equipment","Dublin, Ireland","2019-12-23","0001757898","1985",,,,,,,,,,2024-02-05
"SYK","Stryker Corporation","Health Care","Health Care Equipment","Kalamazoo, Michigan","2000-12-12","0000310764","1941",,,,,,,,,,2024-02-05
"SYF","Synchrony Financial","Financials","Consumer Finance","Stamford, Connecticut","2015-11-18","0001601712","2003",,,,,,,,,,2024-02-05
"SNPS","Synopsys","Information Technology","Application Software","Sunnyvale, California","2017-03-16","0000883241","1986",,,,,,,,,,2024-02-05
"SYY","Sysco","Consumer Staples","Food Distributors","Houston, Texas","1986-12-31","0000096021","1969",,,,,,,,,,2024-02-05
"TMUS","T-Mobile US","Communication Services","Wireless Telecommunication Services","Bellevue, Washington","2019-07-15","0001283699","1994",,,,,,,,,,2024-02-05
"TROW","T. Rowe Price","Financials","Asset Management & Custody Banks","Baltimore, Maryland","2019-07-29","0001113169","1937",,,,,,,,,,2024-02-05
"TTWO","Take-Two Interactive","Communication Services","Interactive Home Entertainment","New York City, New York","2018-03-19","0000946581","1993",,,,,,,,,,2024-02-05
"TPR","Tapestry, Inc.","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2004-09-01","0001116132","2017",,,,,,,,,,2024-02-05
"TRGP","Targa Resources","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2022-10-12","0001389170","2005",,,,,,,,,,2024-02-05
"TGT","Target Corporation","Consumer Staples","Consumer Staples Merchandise Retail","Minneapolis, Minnesota","1976-12-31","0000027419","1902",,,,,,,,,,2024-02-05
"TEL","TE Connectivity","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","2011-10-17","0001385157","2007",,,,,,,,,,2024-02-05
"TDY","Teledyne Technologies","Information Technology","Electronic Equipment & Instruments","Thousand Oaks, California","2020-06-22","0001094285","1960",,,,,,,,,,2024-02-05
"TFX","Teleflex","Health Care","Health Care Equipment","Wayne, Pennsylvania","2019-01-18","0000096943","1943",,,,,,,,,,2024-02-05
"TER","Teradyne","Information Technology","Semiconductor Materials & Equipment","North Reading, Massachusetts","2020-09-21","0000097210","1960",,,,,,,,,,2024-02-05
"TSLA","Tesla, Inc.","Consumer Discretionary","Automobile Manufacturers","Austin, Texas","2020-12-21","0001318605","2003",,,,,,,,,,2024-02-05
"TXN","Texas Instruments","Information Technology","Semiconductors","Dallas, Texas","2001-03-12","0000097476","1930",,,,,,,,,,2024-02-05
"TXT","Textron","Industrials","Aerospace & Defense","Providence, Rhode Island","1978-12-31","0000217346","1923",,,,,,,,,,2024-02-05
"TMO","Thermo Fisher Scientific","Health Care","Life Sciences Tools & Services","Waltham, Massachusetts","2004-08-03","0000097745","2006 (1902)",,,,,,,,,,2024-02-05
"TJX","TJX Companies","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","1985-09-30","0000109198","1987",,,,,,,,,,2024-02-05
"TSCO","Tractor Supply","Consumer Discretionary","Other Specialty Retail","Brentwood, Tennessee","2014-01-24","0000916365","1938",,,,,,,,,,2024-02-05
"TT","Trane Technologies","Industrials","Building Products","Dublin, Ireland","2010-11-17","0001466258","1871",,,,,,,,,,2024-02-05
"TDG","TransDigm Group","Industrials","Aerospace & Defense","Cleveland, Ohio","2016-06-03","0001260221","1993",,,,,,,,,,2024-02-05
"TRV","Travelers Companies (The)","Financials","Property & Casualty Insurance","New York City, New York","2002-08-21","0000086312","1853",,,,,,,,,,2024-02-05
"TRMB","Trimble Inc.","Information Technology","Electronic Equipment & Instruments","Westminster, Colorado","2021-01-21","0000864749","1978",,,,,,,,,,2024-02-05
"TFC","Truist","Financials","Regional Banks","Charlotte, North Carolina","1997-12-04","0000092230","1872",,,,,,,,,,2024-02-05
"TYL","Tyler Technologies","Information Technology","Application Software","Plano, Texas","2020-06-22","0000860731","1966",,,,,,,,,,2024-02-05
"TSN","Tyson Foods","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","2005-08-10","0000100493","1935",,,,,,,,,,2024-02-05
"USB","U.S. Bank","Financials","Diversified Banks","Minneapolis, Minnesota","1999-11-01","0000036104","1968",,,,,,,,,,2024-02-05
"UBER","Uber","Industrials","Passenger Ground Transportation","San Francisco, California","2023-12-18","0001543151","2009",,,,,,,,,,2024-02-05
"UDR","UDR, Inc.","Real Estate","Multi-Family Residential REITs","Highlands Ranch, Colorado","2016-03-07","0000074208","1972",,,,,,,,,,2024-02-05
"ULTA","Ulta Beauty","Consumer Discretionary","Other Specialty Retail","Bolingbrook, Illinois","2016-04-18","0001403568","1990",,,,,,,,,,2024-02-05
"UNP","Union Pacific Corporation","Industrials","Rail Transportation","Omaha, Nebraska","1957-03-04","0000100885","1862",,,,,,,,,,2024-02-05
"UAL","United Airlines Holdings","Industrials","Passenger Airlines","Chicago, Illinois","2015-09-03","0000100517","1967",,,,,,,,,,2024-02-05
"UPS","United Parcel Service","Industrials","Air Freight & Logistics","Sandy Springs, Georgia","2002-07-22","0001090727","1907",,,,,,,,,,2024-02-05
"URI","United Rentals","Industrials","Trading Companies & Distributors","Stamford, Connecticut","2014-09-20","0001067701","1997",,,,,,,,,,2024-02-05
"UNH","UnitedHealth Group","Health Care","Managed Health Care","Minnetonka, Minnesota","1994-07-01","0000731766","1977",,,,,,,,,,2024-02-05
"UHS","Universal Health Services","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","2014-09-20","0000352915","1979",,,,,,,,,,2024-02-05
"VLO","Valero Energy","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas","2002-12-20","0001035002","1980",,,,,,,,,,2024-02-05
"VTR","Ventas","Real Estate","Health Care REITs","Chicago, Illinois","2009-03-04","0000740260","1998",,,,,,,,,,2024-02-05
"VLTO","Veralto","Industrials","Environmental & Facilities Services","Waltham, Massachusetts","2023-10-02","0001967680","2023 (Danaher spinoff)",,,,,,,,,,2024-02-05
"VRSN","Verisign","Information Technology","Internet Services & Infrastructure","Dulles, Virginia","2006-02-01","0001014473","1995",,,,,,,,,,2024-02-05
"VRSK","Verisk","Industrials","Research & Consulting Services","Jersey City, New Jersey","2015-10-08","0001442145","1971",,,,,,,,,,2024-02-05
"VZ","Verizon","Communication Services","Integrated Telecommunication Services","New York City, New York","1983-11-30","0000732712","1983 (1877)",,,,,,,,,,2024-02-05
"VRTX","Vertex Pharmaceuticals","Health Care","Biotechnology","Cambridge, Massachusetts","2013-09-23","0000875320","1989",,,,,,,,,,2024-02-05
"VFC","VF Corporation","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Denver, Colorado","1979-06-30","0000103379","1899",,,,,,,,,,2024-02-05
"VTRS","Viatris","Health Care","Pharmaceuticals","Pittsburgh, Pennsylvania","2004-04-23","0001792044","1961",,,,,,,,,,2024-02-05
"VICI","Vici Properties","Real Estate","Hotel & Resort REITs","New York City, New York","2022-06-08","0001705696","2017",,,,,,,,,,2024-02-05
"V","Visa Inc.","Financials","Transaction & Payment Processing Services","San Francisco, California","2009-12-21","0001403161","1958",,,,,,,,,,2024-02-05
"VMC","Vulcan Materials Company","Materials","Construction Materials","Birmingham, Alabama","1999-06-30","0001396009","1909",,,,,,,,,,2024-02-05
"WRB","Berkley","Financials","Property & Casualty Insurance","Greenwich, Connecticut","2019-12-05","0000011544","1967",,,,,,,,,,2024-02-05
"WAB","Wabtec","Industrials","Construction Machinery & Heavy Transportation Equipment","Pittsburgh, Pennsylvania","2019-02-27","0000943452","1999 (1869)",,,,,,,,,,2024-02-05
"WBA","Walgreens Boots Alliance","Consumer Staples","Drug Retail","Deerfield, Illinois","1979-12-31","0001618921","2014",,,,,,,,,,2024-02-05
"WMT","Walmart","Consumer Staples","Consumer Staples Merchandise Retail","Bentonville, Arkansas","1982-08-31","0000104169","1962",,,,,,,,,,2024-02-05
"DIS","Walt Disney","Communication Services","Movies & Entertainment","Burbank, California","1976-06-30","0001744489","1923",,,,,,,,,,2024-02-05
"WBD","Warner Bros. Discovery","Communication Services","Broadcasting","New York City, New York","2022-04-11","0001437107","2022 (Warner Bros. 1923)",,,,,,,,,,2024-02-05
"WM","Waste Management","Industrials","Environmental & Facilities Services","Houston, Texas","1998-08-31","0000823768","1968",,,,,,,,,,2024-02-05
"WAT","Waters Corporation","Health Care","Life Sciences Tools & Services","Milford, Massachusetts","2002-01-02","0001000697","1958",,,,,,,,,,2024-02-05
"WEC","WEC Energy Group","Utilities","Electric Utilities","Milwaukee, Wisconsin","2008-10-31","0000783325","1896",,,,,,,,,,2024-02-05
"WFC","Wells Fargo","Financials","Diversified Banks","San Francisco, California","1976-06-30","0000072971","1852",,,,,,,,,,2024-02-05
"WELL","Welltower","Real Estate","Health Care REITs","Toledo, Ohio","2009-01-30","0000766704","1970",,,,,,,,,,2024-02-05
"WST","West Pharmaceutical Services","Health Care","Health Care Supplies","Exton, Pennsylvania","2020-05-22","0000105770","1923",,,,,,,,,,2024-02-05
"WDC","Western Digital","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","2009-07-01","0000106040","1970",,,,,,,,,,2024-02-05
"WRK","WestRock","Materials","Paper & Plastic Packaging Products & Materials","Atlanta, Georgia","2015-06-25","0001732845","2015",,,,,,,,,,2024-02-05
"WY","Weyerhaeuser","Real Estate","Timber REITs","Seattle, Washington","1979-10-01","0000106535","1900",,,,,,,,,,2024-02-05
"WHR","Whirlpool Corporation","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan","1958-03-31","0000106640","1911",,,,,,,,,,2024-02-05
"WMB","Williams Companies","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","1975-03-31","0000107263","1908",,,,,,,,,,2024-02-05
"WTW","Willis Towers Watson","Financials","Insurance Brokers","London, United Kingdom","2016-01-05","0001140536","2016",,,,,,,,,,2024-02-05
"GWW","W. W. Grainger","Industrials","Industrial Machinery & Supplies & Components","Lake Forest, Illinois","1981-06-30","0000277135","1927",,,,,,,,,,2024-02-05
"WYNN","Wynn Resorts","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2008-11-14","0001174922","2002",,,,,,,,,,2024-02-05
"XEL","Xcel Energy","Utilities","Multi-Utilities","Minneapolis, Minnesota","1957-03-04","0000072903","1909",,,,,,,,,,2024-02-05
"XYL","Xylem Inc.","Industrials","Industrial Machinery & Supplies & Components","White Plains, New York","2011-11-01","0001524472","2011",,,,,,,,,,2024-02-05
"YUM","Yum! Brands","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997-10-06","0001041061","1997",,,,,,,,,,2024-02-05
"ZBRA","Zebra Technologies","Information Technology","Electronic Equipment & Instruments","Lincolnshire, Illinois","2019-12-23","0000877212","1969",,,,,,,,,,2024-02-05
"ZBH","Zimmer Biomet","Health Care","Health Care Equipment","Warsaw, Indiana","2001-08-07","0001136869","1927",,,,,,,,,,2024-02-05
"ZION","Zions Bancorporation","Financials","Regional Banks","Salt Lake City, Utah","2001-06-22","0000109380","1873",,,,,,,,,,2024-02-05
"ZTS","Zoetis","Health Care","Pharmaceuticals","Parsippany, New Jersey","2013-06-21","0001555280","1952",,,,,,,,,,2024-02-05
